Date,Close/Last,Volume,Open,High,Low
09/06/2022,$107.48,20565050,$108.135,$108.88,$106.51
09/02/2022,$108.68,20618080,$111.34,$111.675,$108.13
09/01/2022,$110.55,22784390,$109.2,$111.22,$108.19
08/31/2022,$109.15,25897980,$111.63,$111.77,$109.05
08/30/2022,$109.91,20548200,$111.03,$111.37,$108.8
08/29/2022,$110.34,20386140,$110.78,$111.96,$109.81
08/26/2022,$111.3,31698670,$115.81,$116.6,$111.22
08/25/2022,$117.7,14874670,$115.15,$117.78,$115.05
08/24/2022,$114.7,16051170,$114.45,$115.7171,$113.78
08/23/2022,$114.77,14390690,$114.32,$115.93,$114.3
08/22/2022,$115.07,19316020,$116.1,$116.5,$114.67
08/19/2022,$118.12,20186980,$119.87,$120,$117.67
08/18/2022,$120.86,15652030,$120.23,$121.69,$119.5502
08/17/2022,$120.32,17589160,$120.93,$122.15,$120.2
08/16/2022,$122.51,15626170,$122.32,$123.2276,$121.535
08/15/2022,$122.88,15524950,$122.21,$123.26,$121.57
08/12/2022,$122.65,16121090,$121.16,$122.65,$120.4001
08/11/2022,$119.82,16671630,$122.08,$122.3402,$119.55
08/10/2022,$120.65,20497020,$119.59,$121.78,$119.36
08/09/2022,$117.5,15424260,$117.99,$118.2,$116.56
08/08/2022,$118.14,17061110,$119.12,$120.86,$117.83
08/05/2022,$118.22,15615660,$116.93,$118.86,$116.71
08/04/2022,$118.87,15757700,$118.3,$119.5,$117.71
08/03/2022,$118.78,25302820,$116.34,$119.42,$116.15
08/02/2022,$115.9,17911040,$114.43,$117.08,$114.26
08/01/2022,$115.48,22856200,$115.53,$117.12,$114.69
07/29/2022,$116.64,31336180,$113.4,$116.9,$113.23
07/28/2022,$114.59,23303840,$112.8,$114.7,$111.851
07/27/2022,$113.6,41474620,$109.6,$114.4,$108.42
07/26/2022,$105.44,36626630,$107.43,$107.74,$104.76
07/25/2022,$108.21,28289940,$108.88,$110.58,$107.01
07/22/2022,$108.36,44455300,$111.81,$113.18,$107.6
07/21/2022,$115.04,27267850,$115.09,$115.21,$111.91
07/20/2022,$114.7,26780090,$114.06,$116.33,$113.26
07/19/2022,$114.62,30992330,$111.73,$114.81,$110.5
07/18/2022,$109.91,33353990,$113.44,$114.8,$109.3
07/15/2022,$112.767,34330760,$112.963,$114.0005,$111.8225
07/14/2022,$111.44,32365540,$110.826,$111.9875,$109.3255
07/13/2022,$112.187,38958860,$112.639,$115.157,$111.823
07/12/2022,$114.8495,24970160,$116.8385,$117.8495,$114.615
07/11/2022,$116.5225,26830460,$118.65,$118.7945,$116.2345
07/08/2022,$120.1685,29082200,$117.55,$120.435,$117.514
07/07/2022,$119.306,32183940,$116.008,$119.862,$115.534
07/06/2022,$115.2135,28852680,$114.092,$116.352,$112.2505
07/05/2022,$113.887,36429380,$107.5145,$114.0526,$106.2495
07/01/2022,$109.081,31027880,$108.337,$109.8064,$107.105
06/30/2022,$109.3725,38046040,$110.4995,$111.3298,$107.31
06/29/2022,$112.2565,18627860,$112.1485,$113.6645,$111.554
06/28/2022,$112.5715,28316220,$116.351,$117.8565,$112.444
06/27/2022,$116.6225,32839300,$118.935,$119.25,$116.0008
06/24/2022,$118.538,39122760,$113.603,$118.6375,$113.603
06/23/2022,$112.6845,24709720,$112.95,$113.1965,$111.029
06/22/2022,$112.034,23921720,$111.163,$113.7695,$110.7243
06/21/2022,$112.015,39010280,$109.702,$112.673,$109.2935
06/17/2022,$107.8655,43516660,$106.535,$109.2495,$105.6285
06/16/2022,$106.636,35313240,$108.1495,$109.2905,$105.7925
06/15/2022,$110.3905,33192020,$108.8995,$112.063,$108.1188
06/14/2022,$107.194,25480940,$106.89,$108.4575,$106.352
06/13/2022,$106.8765,36756200,$107.446,$109.2185,$106.5881
06/10/2022,$111.4275,31349740,$112.7813,$113.497,$110.861
06/09/2022,$114.918,23141600,$116.3415,$118.35,$114.867
06/08/2022,$117.238,22544260,$116.8765,$118.646,$116.6968
06/07/2022,$117.2295,26413540,$115.648,$117.7486,$115.1255
06/06/2022,$117.0105,23786720,$116.7425,$119.3985,$116.5283
06/03/2022,$114.564,24952080,$115.9925,$116.3645,$113.668
06/02/2022,$117.746,27495400,$114.188,$117.898,$113.308
06/01/2022,$114.137,28629280,$114.9315,$117.399,$113.5505
05/31/2022,$114.039,51301920,$113.079,$116.4335,$112.5725
05/27/2022,$112.799,29924420,$109.7885,$112.868,$109.55
05/26/2022,$108.296,30287480,$106.0505,$108.9553,$105.488
05/25/2022,$105.8395,37899340,$105.142,$106.5447,$104.2113
05/24/2022,$105.926,60386380,$106.3775,$106.395,$102.208
05/23/2022,$111.6665,31558220,$110.104,$112.0055,$109.1543
05/20/2022,$109.313,37586020,$112.0855,$112.55,$106.373
05/19/2022,$110.7455,29191740,$111.841,$113.5875,$110.468
05/18/2022,$112.401,27982760,$115.2375,$115.6957,$112.142
05/17/2022,$116.7015,21576080,$117.2275,$117.2275,$115.3375
05/16/2022,$114.7925,23282380,$115.384,$116.6075,$114.335
05/13/2022,$116.5155,29737560,$114.8455,$118.085,$114
05/12/2022,$113.161,41464880,$111.938,$114.8565,$110.1135
05/11/2022,$113.961,36501640,$113.7105,$116.671,$113.65
05/10/2022,$114.5845,31157780,$116.0405,$116.691,$113.3833
05/09/2022,$113.084,34520960,$113.3035,$115.5629,$112.5515
05/06/2022,$115.66,35309480,$115.519,$117.4985,$114.143
05/05/2022,$116.7465,43089040,$120.2205,$121.2333,$115.1825
05/04/2022,$122.575,33231460,$118.0035,$123.143,$115.7385
05/03/2022,$118.1295,21215740,$116.765,$119.3,$116.627
05/02/2022,$117.157,30279640,$113.9065,$117.3395,$113.3995
04/29/2022,$114.9665,33693100,$117.578,$118.96,$114.694
04/28/2022,$119.4115,36790940,$117.115,$120.4385,$115.1439
04/27/2022,$115.0205,62238120,$114.373,$117.5,$113.1243
04/26/2022,$119.506,49393040,$122.75,$122.75,$119.1619
04/25/2022,$123.25,34521800,$119.4295,$123.278,$118.7693
04/22/2022,$119.614,46410300,$125,$125.452,$119.1405
04/21/2022,$124.9375,30157540,$129.35,$130.3075,$124.65
04/20/2022,$128.2455,22609380,$131.284,$131.9235,$127.8941
04/19/2022,$130.531,22719300,$128.077,$130.9038,$127.4515
04/18/2022,$127.961,14917200,$127.41,$128.712,$126.5785
04/14/2022,$127.253,23483360,$130.6495,$130.7103,$127.1115
04/13/2022,$130.286,19542960,$128.6265,$130.6557,$128.4386
04/12/2022,$128.3745,23003220,$132.4235,$132.4235,$127.576
04/11/2022,$129.7965,24187340,$132.9,$132.9392,$129.6175
04/08/2022,$134.0105,16434480,$136.25,$136.25,$133.7525
04/07/2022,$136.465,19448540,$136.618,$137.7015,$134.8572
04/06/2022,$137.176,23574600,$139.1615,$139.8485,$136.4181
04/05/2022,$141.063,19255560,$143.3995,$143.59,$140.9435
04/04/2022,$143.6425,19084900,$140.8245,$144.0438,$140.8245
04/01/2022,$140.7,23480020,$140.01,$140.95,$138.797
03/31/2022,$139.6495,29516320,$142.4485,$142.6445,$139.619
03/30/2022,$142.6445,21046380,$142.87,$143.4805,$142.168
03/29/2022,$143.25,28678420,$143.1605,$144.1625,$142.484
03/28/2022,$141.95,23773080,$140.6845,$141.9765,$139.8281
03/25/2022,$141.5215,19289080,$141.754,$141.9595,$139.6995
03/24/2022,$141.312,20544720,$139.2725,$141.3965,$138.0394
03/23/2022,$138.5035,25302320,$139.1385,$140.025,$138.1665
03/22/2022,$140.2775,29776860,$136.5,$141.5,$136.5
03/21/2022,$136.4785,26632460,$136.8475,$137.5825,$134.6115
03/18/2022,$136.8015,45899700,$133.884,$136.9135,$132.932
03/17/2022,$134.6005,23994380,$133.321,$134.7395,$132.719
03/16/2022,$133.6905,32058200,$131,$133.771,$129.201
03/15/2022,$129.6605,30292600,$127.7415,$130.5172,$126.568
03/14/2022,$126.741,30253860,$130.573,$131.026,$126.413
03/11/2022,$130.4755,26599800,$133.9995,$134.2,$130.2965
03/10/2022,$132.682,24265200,$131.4625,$133.5385,$131.401
03/09/2022,$133.866,32257440,$131.4,$134.1985,$130.088
03/08/2022,$127.2785,35249560,$126.2505,$131.2465,$125.8608
03/07/2022,$126.4645,39177900,$131.904,$131.904,$126.41
03/04/2022,$132.122,24472240,$133.3825,$134.199,$130.4085
03/03/2022,$134.308,19779300,$135.9785,$136.7138,$133.431
03/02/2022,$134.7515,23966740,$134.6083,$135.6155,$133.4325
03/01/2022,$134.168,24639920,$134.48,$136.111,$133.3785
02/28/2022,$134.891,29675680,$133.2845,$135.6405,$132.8253
02/25/2022,$134.5195,26235860,$133.5255,$135.389,$131.765
02/24/2022,$132.6735,43165080,$125,$133.037,$124.7645
02/23/2022,$127.585,26431280,$131.0785,$131.749,$127.5035
02/22/2022,$129.4025,38906580,$129.985,$131.9007,$127.741
02/18/2022,$130.4675,31858600,$133.0375,$133.824,$130.307
02/17/2022,$132.3085,30968120,$136.15,$136.8395,$132.202
02/16/2022,$137.4875,25609660,$136.4305,$137.946,$134.8236
02/15/2022,$136.4255,26577560,$137.4715,$137.9,$135.5395
02/14/2022,$135.3,26792800,$133.3655,$136.1665,$133.302
02/11/2022,$134.13,38808800,$138.75,$139.2833,$133.2885
02/10/2022,$138.6025,33017700,$139.5,$141.431,$138.05
02/09/2022,$141.453,28627160,$140.8498,$142.1755,$140.377
02/08/2022,$139.213,34255040,$138.9913,$139.8371,$136.873
02/07/2022,$138.938,44610740,$143.709,$143.8465,$138.699
02/04/2022,$143.016,49224400,$143.017,$144.5352,$139.8175
02/03/2022,$142.6505,56930140,$145.295,$149.1177,$142.205
02/02/2022,$148.0365,89750760,$151.8635,$152.1,$145.5575
02/01/2022,$137.8785,51203200,$137.835,$138.2,$134.5682
01/31/2022,$135.6985,34055560,$134.198,$135.8435,$132.274
01/28/2022,$133.2895,30517560,$130,$133.3705,$128.6945
01/27/2022,$129.121,30285020,$131.361,$132.6099,$128.945
01/26/2022,$129.24,39630880,$130.5925,$132.8075,$127.1535
01/25/2022,$126.7355,36008600,$128.4355,$129.3385,$126.378
01/24/2022,$130.372,55292040,$126.0275,$130.7785,$124.642
01/21/2022,$130.092,41919220,$133.012,$134.7605,$130.001
01/20/2022,$133.5065,21930560,$136.514,$137.912,$133.1445
01/19/2022,$135.652,20795280,$136.9385,$138.3995,$135.5
01/18/2022,$136.2905,27401960,$136.6,$137.3915,$135.617
01/14/2022,$139.7865,23825920,$137.5,$141.2005,$137.5
01/13/2022,$139.131,26565080,$141.8405,$143.1855,$138.914
01/12/2022,$141.648,23641580,$141.5545,$142.8142,$141.112
01/11/2022,$140.0175,23501240,$138.1805,$140.3295,$136.8135
01/10/2022,$138.574,34095680,$135.099,$138.64,$133.1405
01/07/2022,$137.0045,19408240,$137.905,$138.2547,$135.789
01/06/2022,$137.551,29049040,$137.4975,$139.686,$136.7635
01/05/2022,$137.6535,49641520,$144.181,$144.298,$137.5235
01/04/2022,$144.4165,22927780,$145.5505,$146.61,$143.8161
01/03/2022,$145.0745,25224500,$144.4755,$145.55,$143.5025
12/31/2021,$144.6795,17297700,$145.544,$146.365,$144.6775
12/30/2021,$146.0025,12977020,$146.45,$147.0625,$145.7585
12/29/2021,$146.5045,17024720,$146.4295,$147.1838,$145.5045
12/28/2021,$146.448,18635840,$148.3745,$148.3745,$145.9355
12/27/2021,$148.064,13259320,$147.4635,$148.4265,$147.25
12/23/2021,$147.1425,13818680,$147.0895,$148.5726,$146.9508
12/22/2021,$146.949,18440480,$144.1,$147.303,$143.963
12/21/2021,$144.2205,19551940,$143.15,$144.6921,$141.735
12/20/2021,$142.4015,20263520,$140.6796,$142.6105,$140.25
12/17/2021,$142.803,43404700,$142.7145,$144.4601,$141.788
12/16/2021,$144.8385,27399740,$148.077,$148.5515,$144.0925
12/15/2021,$147.3685,27280960,$144.366,$147.5172,$142.7055
12/14/2021,$144.9705,24778800,$144.77,$145.442,$142.2425
12/13/2021,$146.7045,24103920,$148.444,$148.5625,$146.36
12/10/2021,$148.675,21638460,$149.1,$149.4,$147.3575
12/09/2021,$148.106,18580600,$148.176,$149.605,$147.529
12/08/2021,$148.7205,18963940,$148.3315,$149.1565,$147.2
12/07/2021,$148.0365,23258280,$145.95,$148.3,$145.7025
12/06/2021,$143.7965,22197700,$143.574,$144.3515,$140.647
12/03/2021,$142.5205,26687480,$144.4955,$145.213,$141.15
12/02/2021,$143.7765,21250700,$141.824,$144.675,$140.982
12/01/2021,$141.618,28545780,$144.2125,$146.4991,$141.5
11/30/2021,$142.452,41590520,$145.4503,$146.6285,$142.066
11/29/2021,$146.114,26276120,$144.2985,$146.862,$144.2985
11/26/2021,$142.806,16992120,$145.0155,$145.297,$142.4855
11/24/2021,$146.7175,16464060,$146.35,$147,$145.199
11/23/2021,$146.757,18133140,$147.113,$147.694,$144.8895
11/22/2021,$147.0785,24627700,$150.1418,$150.7445,$147.0055
11/19/2021,$149.9525,19782960,$151,$151.85,$149.8875
11/18/2021,$150.709,26682400,$149.146,$151.61,$148.9985
11/17/2021,$149.062,15290820,$149.229,$149.626,$148.563
11/16/2021,$149.076,17254860,$149.1705,$149.8325,$148.35
11/15/2021,$149.388,16247340,$150,$150.477,$148.6525
11/12/2021,$149.6455,17047660,$147.8315,$149.8595,$146.454
11/11/2021,$146.748,12463100,$147.107,$148.5023,$146.6945
11/10/2021,$146.626,22708320,$148.0098,$148.7,$145.325
11/09/2021,$149.2485,16875560,$149.746,$150.3785,$147.507
11/08/2021,$149.3515,18388140,$150,$151.0345,$149.12
11/05/2021,$149.241,20408140,$149.3535,$150.5707,$148.652
11/04/2021,$148.683,24700800,$147.2,$149.95,$146.635
11/03/2021,$146.79,17886600,$146.275,$146.9105,$145.0535
11/02/2021,$145.863,21150580,$144.8094,$146.9205,$144.641
11/01/2021,$143.774,32272100,$148.165,$148.3995,$143.5795
10/29/2021,$148.2705,28954500,$145.52,$148.613,$145.1665
10/28/2021,$146.129,32418060,$147.299,$147.4245,$144.7635
10/27/2021,$146.4275,51850920,$139.9025,$149.118,$139.9025
10/26/2021,$139.672,28258740,$140.606,$140.8395,$139.0055
